gene	source	n_strong_consensus_pathways	example_pathways	crispr_effect	crispr_p	crispr_fdr	crispr_direction
AMOT	resistance_consensus_leading_edge	7	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_EMBRYONIC_MORPHOGENESIS;go_bp:GOBP_GASTRULATION;go_bp:GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT;go_bp:GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT	-0.4613519379856461	0.1832849669179025	0.792326934381691	nonsignificant_sensitising_direction
MBOAT2	resistance_consensus_leading_edge	6	go_bp:GOBP_CARTILAGE_DEVELOPMENT;go_bp:GOBP_CHONDROCYTE_DIFFERENTIATION;go_bp:GOBP_CONNECTIVE_TISSUE_DEVELOPMENT;go_bp:GOBP_REGULATION_OF_CARTILAGE_DEVELOPMENT;go_bp:GOBP_SKELETAL_SYSTEM_DEVELOPMENT	-0.4183421979152752	0.1815194072680871	0.792326934381691	nonsignificant_sensitising_direction
NR3C2	resistance_consensus_leading_edge	1	go_bp:GOBP_CELLULAR_RESPONSE_TO_LIPID	-0.4110430655774006	0.180346684494828	0.792326934381691	nonsignificant_sensitising_direction
PPP1R7	resistance_consensus_leading_edge	1	go_bp:GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	-0.5120265318013622	0.1810125211401088	0.792326934381691	nonsignificant_sensitising_direction
RABEP1	resistance_consensus_leading_edge	1	hallmark:HALLMARK_ESTROGEN_RESPONSE_LATE	-0.3405275679650117	0.181135547053444	0.792326934381691	nonsignificant_sensitising_direction
RALGAPA1	resistance_consensus_leading_edge	2	go_bp:GOBP_POSITIVE_REGULATION_OF_GTPASE_ACTIVITY;go_bp:GOBP_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY	-0.4760544824072319	0.1830189424418601	0.792326934381691	nonsignificant_sensitising_direction
SALL4	resistance_consensus_leading_edge	13	go_bp:GOBP_CARDIAC_CHAMBER_DEVELOPMENT;go_bp:GOBP_CARDIAC_SEPTUM_DEVELOPMENT;go_bp:GOBP_EMBRYONIC_MORPHOGENESIS;go_bp:GOBP_EPITHELIAL_TUBE_FORMATION;go_bp:GOBP_EPITHELIAL_TUBE_MORPHOGENESIS	-0.5509206440727121	0.1826848534578702	0.792326934381691	nonsignificant_sensitising_direction
NUMB	resistance_consensus_leading_edge	1	go_bp:GOBP_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT	-0.4040933118772187	0.1839437314466085	0.7930869572944422	nonsignificant_sensitising_direction
A1BG	resistance_consensus_leading_edge	1	reactome:REACTOME_HEMOSTASIS	-0.5286214156984119	0.1860683545319649	0.7933731032718212	nonsignificant_sensitising_direction
CACNG1	resistance_consensus_leading_edge	3	go_bp:GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT;go_bp:GOBP_REGULATION_OF_SYSTEM_PROCESS;go_bp:GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	-0.4542814345276227	0.1859142917531716	0.7933731032718212	nonsignificant_sensitising_direction
SULF2	resistance_consensus_leading_edge	18	go_bp:GOBP_BONE_DEVELOPMENT;go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_CARTILAGE_DEVELOPMENT;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_CHONDROCYTE_DIFFERENTIATION	-0.4242247165771364	0.1863267188250367	0.7933731032718212	nonsignificant_sensitising_direction
MOAP1	resistance_consensus_leading_edge	1	go_bp:GOBP_POSITIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH	-0.4782302746519695	0.1868072579617342	0.7935642761795831	nonsignificant_sensitising_direction
SLC5A3	resistance_consensus_leading_edge	2	go_bp:GOBP_CIRCULATORY_SYSTEM_PROCESS;go_bp:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	-0.4344816226305479	0.1867671443589613	0.7935642761795831	nonsignificant_sensitising_direction
SP7	resistance_consensus_leading_edge	3	go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_ODONTOGENESIS;go_bp:GOBP_OSTEOBLAST_DIFFERENTIATION	-0.4105647843763549	0.1865869463886262	0.7935642761795831	nonsignificant_sensitising_direction
PIK3CA	resistance_consensus_leading_edge	7	go_bp:GOBP_CELLULAR_COMPONENT_DISASSEMBLY;go_bp:GOBP_HEMOSTASIS;go_bp:GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS;go_bp:GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS;go_bp:GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION	-0.5452936626423055	0.1877273266549656	0.7949205310828557	nonsignificant_sensitising_direction
CYFIP2	resistance_consensus_leading_edge	18	go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_NEURON_PROJECTION_GUIDANCE;go_bp:GOBP_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY	-0.4093323244671172	0.19212206940835	0.7956932679350437	nonsignificant_sensitising_direction
HMGA1	resistance_consensus_leading_edge	1	go_bp:GOBP_CELLULAR_COMPONENT_DISASSEMBLY	-0.3803816580761792	0.1922746577091197	0.7956932679350437	nonsignificant_sensitising_direction
IMPA2	resistance_consensus_leading_edge	1	hallmark:HALLMARK_ESTROGEN_RESPONSE_LATE	-0.4305379074379623	0.1913048754816369	0.7956932679350437	nonsignificant_sensitising_direction
OSBPL5	resistance_consensus_leading_edge	1	go_bp:GOBP_ALCOHOL_METABOLIC_PROCESS	-0.5290563529261023	0.1895548880182412	0.7956932679350437	nonsignificant_sensitising_direction
SNAPIN	resistance_consensus_leading_edge	1	go_bp:GOBP_CELLULAR_COMPONENT_DISASSEMBLY	-0.382055389275064	0.189155740275606	0.7956932679350437	nonsignificant_sensitising_direction
ANKRD13B	resistance_consensus_leading_edge	1	go_bp:GOBP_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT	-0.4740222742292035	0.1948110765120141	0.7973752005820386	nonsignificant_sensitising_direction
BPIFB2	resistance_consensus_leading_edge	1	reactome:REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	-0.4063961866705652	0.1995720283847147	0.7974991412428396	nonsignificant_sensitising_direction
CCND1	resistance_consensus_leading_edge	6	hallmark:HALLMARK_ESTROGEN_RESPONSE_EARLY;hallmark:HALLMARK_ESTROGEN_RESPONSE_LATE;hallmark:HALLMARK_G2M_CHECKPOINT;reactome:REACTOME_CELL_CYCLE_MITOTIC;reactome:REACTOME_ESR_MEDIATED_SIGNALING	-0.9513508306899392	0.1979994957821301	0.7974991412428396	nonsignificant_sensitising_direction
IFNGR1	resistance_consensus_leading_edge	3	go_bp:GOBP_GLIAL_CELL_DIFFERENTIATION;go_bp:GOBP_GLIOGENESIS;hallmark:HALLMARK_IL2_STAT5_SIGNALING	-0.3719947099635829	0.1949910756258508	0.7974991412428396	nonsignificant_sensitising_direction
IKZF3	resistance_consensus_leading_edge	1	go_bp:GOBP_MESODERM_DEVELOPMENT	-0.4229998659501284	0.1981821348259371	0.7974991412428396	nonsignificant_sensitising_direction
KIF2C	resistance_consensus_leading_edge	13	go_bp:GOBP_METAPHASE_CHROMOSOME_ALIGNMENT;go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION;go_bp:GOBP_SISTER_CHROMATID_SEGREGATION	-0.4278824626771547	0.1996030671335704	0.7974991412428396	nonsignificant_sensitising_direction
SIAH1	resistance_consensus_leading_edge	1	go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY	-0.3847292311069976	0.1984560900256125	0.7974991412428396	nonsignificant_sensitising_direction
TOLLIP	resistance_consensus_leading_edge	2	go_bp:GOBP_CELLULAR_RESPONSE_TO_INTERLEUKIN_1;go_bp:GOBP_RESPONSE_TO_INTERLEUKIN_1	-0.4865070470561479	0.1983176565528438	0.7974991412428396	nonsignificant_sensitising_direction
TRAF4	resistance_consensus_leading_edge	5	go_bp:GOBP_POSITIVE_REGULATION_OF_MAPK_CASCADE;go_bp:GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS;go_bp:GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION;go_bp:GOBP_REGULATION_OF_KINASE_ACTIVITY;hallmark:HALLMARK_P53_PATHWAY	-0.3998564591026365	0.1955483491011078	0.7974991412428396	nonsignificant_sensitising_direction
KIF23	resistance_consensus_leading_edge	6	go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_SISTER_CHROMATID_SEGREGATION;hallmark:HALLMARK_G2M_CHECKPOINT;reactome:REACTOME_CELL_CYCLE_MITOTIC	-0.371121625027536	0.199983477908587	0.7975541499974401	nonsignificant_sensitising_direction
ALMS1	resistance_consensus_leading_edge	3	reactome:REACTOME_CELL_CYCLE_MITOTIC;reactome:REACTOME_MITOTIC_PROMETAPHASE;reactome:REACTOME_M_PHASE	-0.4202703558652061	0.200924088480677	0.7981395014028642	nonsignificant_sensitising_direction
PPM1F	resistance_consensus_leading_edge	25	go_bp:GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION;go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_CELL_MATRIX_ADHESION;go_bp:GOBP_CELL_SUBSTRATE_ADHESION;go_bp:GOBP_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY	-0.3699788583125993	0.2008992881293023	0.7981395014028642	nonsignificant_sensitising_direction
ZFPM1	resistance_consensus_leading_edge	18	go_bp:GOBP_CARDIAC_CHAMBER_DEVELOPMENT;go_bp:GOBP_CARDIAC_CHAMBER_MORPHOGENESIS;go_bp:GOBP_CARDIAC_SEPTUM_DEVELOPMENT;go_bp:GOBP_CARDIAC_SEPTUM_MORPHOGENESIS;go_bp:GOBP_CELL_FATE_COMMITMENT	-0.3320139072828514	0.2014623645921838	0.7992715805847714	nonsignificant_sensitising_direction
BECN1	resistance_consensus_leading_edge	1	go_bp:GOBP_CELLULAR_COMPONENT_DISASSEMBLY	-0.4593155241906874	0.2029178725405143	0.7999611810621501	nonsignificant_sensitising_direction
