gene	ranking_stat	log2fc	p_value	fdr	ranking_stat_method
AHR	2.810005492381258	0.83401914388915	0.0015487970316556	0.137873107188103	sign(log2fc)*-log10(p_value)
MPP1	2.8028287939752965	1.50266147865453	0.0015746034767079	0.138147854502848	sign(log2fc)*-log10(p_value)
CDH11	2.800947679648086	1.76286560952058	0.001581438546958	0.138147854502848	sign(log2fc)*-log10(p_value)
PTK7	2.7999755146651073	0.860904545023511	0.0015849825505722	0.138147854502848	sign(log2fc)*-log10(p_value)
TMEM30B	2.796674618395859	0.808875251314719	0.0015970752579646	0.138147854502848	sign(log2fc)*-log10(p_value)
IGFBP5	2.7949053133560655	1.70060010205358	0.0016035949748585	0.138147854502848	sign(log2fc)*-log10(p_value)
SLC38A10	2.7933923977087565	0.64172752392654	0.0016091910271927	0.138147854502848	sign(log2fc)*-log10(p_value)
CDH10	2.79243514287635	6.4278939094096	0.001612741854685	0.138147854502848	sign(log2fc)*-log10(p_value)
GLDN	2.791186595168294	2.2230880850481	0.0016173849768551	0.138147854502848	sign(log2fc)*-log10(p_value)
GPC4	2.788112644742103	1.30042762116563	0.0016288734902418	0.138552787159676	sign(log2fc)*-log10(p_value)
QSOX1	2.7872179831883592	1.29579082401201	0.0016322324842284	0.138552787159676	sign(log2fc)*-log10(p_value)
DHRS9	2.7838005431441832	2.07934395364429	0.001645127101315	0.138787984196481	sign(log2fc)*-log10(p_value)
EMC1	2.7770233952298167	0.586639702373986	0.0016710005959071	0.139774292197436	sign(log2fc)*-log10(p_value)
PTPRE	2.774972067871297	1.22864811432843	0.0016789119957273	0.139774292197436	sign(log2fc)*-log10(p_value)
SLC16A9	2.774094530501282	1.34045802715612	0.0016823078424813	0.139774292197436	sign(log2fc)*-log10(p_value)
SORBS3	2.7722700532919275	0.983732096365803	0.0016893901072524	0.139938664533678	sign(log2fc)*-log10(p_value)
EXT2	2.7673022292537484	0.79132054326012	0.0017088257147448	0.14085786516769	sign(log2fc)*-log10(p_value)
C17orf51	2.760823011753031	3.03550959550246	0.0017345107197583	0.142385673396211	sign(log2fc)*-log10(p_value)
ID4	2.7537322673921336	1.66175162006041	0.0017630625991988	0.143016716996551	sign(log2fc)*-log10(p_value)
SIL1	2.7520468688443493	0.69942155251467	0.0017699179393471	0.143149292215394	sign(log2fc)*-log10(p_value)
JAKMIP2-AS1	2.748021116197078	4.55094104690879	0.0017864007146496	0.143215014018312	sign(log2fc)*-log10(p_value)
ABHD15	2.7396945753231985	0.880455506875205	0.0018209810430167	0.144717849963571	sign(log2fc)*-log10(p_value)
RBMS1	2.7336017624491804	0.605896974105004	0.0018467080296809	0.146338268086104	sign(log2fc)*-log10(p_value)
RP11-202K23.1	2.730699999986993	5.54491676380288	0.0018590882243477	0.146894757738232	sign(log2fc)*-log10(p_value)
GALNT18	2.7196577605932997	0.839641979319235	0.0019069628801794	0.149490285505446	sign(log2fc)*-log10(p_value)
DISP1	2.7100892175434126	0.782306005997736	0.0019494440824011	0.150988299014901	sign(log2fc)*-log10(p_value)
CHSY3	2.708573923931182	1.54991952454524	0.0019562577529461	0.151089225550074	sign(log2fc)*-log10(p_value)
TNS3	2.7070946448636914	1.28127354048901	0.0019629324525668	0.15117888197887	sign(log2fc)*-log10(p_value)
MTRNR2L8	2.703381079045834	0.694396728060607	0.0019797890639822	0.151896458468433	sign(log2fc)*-log10(p_value)
DPY19L2P4	2.7014008079242977	1.9900681093387	0.001988837005308	0.151896458468433	sign(log2fc)*-log10(p_value)
RPN2	2.6990835751339977	0.533160374982626	0.0019994770555268	0.151896458468433	sign(log2fc)*-log10(p_value)
FIBIN	2.697779553342612	3.77546057688523	0.0020054897500026	0.151896458468433	sign(log2fc)*-log10(p_value)
RP11-136C24.3	2.6922326135252255	1.28534687483571	0.0020312687467175	0.153003644223905	sign(log2fc)*-log10(p_value)
TGFB2-OT1	2.6867583983095362	2.86862169530984	0.0020570346234834	0.154303106723525	sign(log2fc)*-log10(p_value)
PCDHA13	2.686180016505262	0.800561480417537	0.0020597759523236	0.154303106723525	sign(log2fc)*-log10(p_value)
SHISA4	2.681159523349764	1.22478078920271	0.0020837253566661	0.154439134529233	sign(log2fc)*-log10(p_value)
MTRNR2L1	2.6786041167195056	0.76935703460163	0.0020960222247028	0.154439134529233	sign(log2fc)*-log10(p_value)
RP11-437J2.3	2.6784738817385487	2.87401718558374	0.0020966508680762	0.154439134529233	sign(log2fc)*-log10(p_value)
SEPN1	2.6777010812307074	0.620963823038609	0.0021003850516423	0.154439134529233	sign(log2fc)*-log10(p_value)
ANTXR1	2.6758972354042134	1.13913992805001	0.0021091271614747	0.154439134529233	sign(log2fc)*-log10(p_value)
