dataset	collection	pathway	NES	nom_pvalue	fdr	gene_set_size_in_data	n_leading_edge	leading_edge_genes
gse118713	go_bp	GOBP_POSITIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	1.0784392863900962	0.29391304347826086	0.5389495574793248	103	20	BMP7;PTK7;WNT5A;S100A9;PRKD1;LYN;DISC1;ITGA3;SCN1B;CAMK1D;NFE2L2;FYN;FLNA;EPHB2;TMEM30A;RAPGEF2;CAPRIN2;PLXNB3;AVIL;DBN1
gse118713	go_bp	GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS	1.0783885357714456	0.2759170653907496	0.525850739412808	202	37	ANG;CAPN2;SOCS2;ACP6;FABP5;PI4KAP2;SH3YL1;HTR2C;PLD1;INPP1;TMEM150A;ACSL3;SLC44A3;DGKD;ITPKB;PI4KA;PIK3R3;ITPKC;FBXW7;SOCS6;INPP4A;GNPAT;MTMR2;LIPH;LPGAT1;SLC30A5;PIK3C2B;ACSL1;PIGH;ABHD4;LPCAT2;PIKFYVE;OCRL;MTMR6;AVIL;PIK3C3;PITPNM1
gse118713	go_bp	GOBP_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE	-1.0782915242685187	0.34968017057569295	0.5822149344096871	16	5	BST2;TRIM8;IFITM3;TRIM59;IFITM2
gse118713	go_bp	GOBP_MULTICELLULAR_ORGANISM_GROWTH	-1.0782744555370665	0.2830188679245283	0.5312965007440119	108	13	BCL2;SLC4A10;NPY1R;STC2;HEG1;PLS1;FOSL2;SCNN1B;ATF5;EZR;RMI1;ETNK2;TP53
gse118713	go_bp	GOBP_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION	1.0779086980427404	0.3249551166965889	0.5650722677999227	49	10	BMP6;SOX9;BMP2;WNT5A;CDK6;WNT4;CTNNB1;CLCN2;DLL1;EXT1
gse118713	go_bp	GOBP_ESTABLISHMENT_OF_MITOCHONDRION_LOCALIZATION	1.0778563541431079	0.3621013133208255	0.5904799048699598	26	3	MARK1;MAP1B;TRAK1
gse118713	go_bp	GOBP_GLYCOSYL_COMPOUND_BIOSYNTHETIC_PROCESS	-1.0776558975789574	0.3522975929978118	0.5839744414850606	20	6	ADK;PRTFDC1;TK1;HPRT1;ADAL;LCMT2
gse118713	go_bp	GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY	-1.0772661391526361	0.24786324786324787	0.49981965027836583	310	46	BCL2;GATA3;MICB;IRF7;CD47;FCHO1;GBP2;S100A14;C5AR2;ESR1;CD22;ZNRF1;IGSF1;CAV1;FOSL2;MAPK10;RFTN1;IFI35;TIFA;TREX1;ALPK1;AURKB;EZR;OAS3;CD274;ZDHHC12;C3;MAP3K1;IFIH1;ECSIT;TRGC1;PPT1;PHPT1;HLA-DRB1;ARRB2;FLOT1;SLC39A6;NINJ1;GPS2;VAV1;MAPK8;SLC15A2;YWHAE;NAGK;GFI1;OASL
gse118713	go_bp	GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS	-1.0770233162692258	0.2826086956521739	0.5309178743961352	123	14	GATA3;EGR3;ROR2;KITLG;GPR68;SOCS1;IL20;SHH;PPP3CA;TESC;ZMIZ1;LGALS1;XBP1;TMEM64
gse118713	go_bp	GOBP_TOLL_LIKE_RECEPTOR_3_SIGNALING_PATHWAY	1.0769975024882237	0.3664825046040516	0.5945212027575375	21	8	SCARA3;F2RL1;MAP3K7;WDFY1;IKBKB;SRC;RNF170;PELI1
gse118713	go_bp	GOBP_POSITIVE_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS	-1.0769485280889541	0.34649122807017546	0.5800929998743246	18	13	GPR68;C2CD2L;HLA-DRB1;PPP3CB;ABCC8;GPR27;TRPM4;DYNLL1;BAD;MPC2;SYBU;BAIAP3;PLA2G6
gse118713	go_bp	GOBP_HEART_TRABECULA_MORPHOGENESIS	1.07683700844052	0.3664825046040516	0.5945212027575375	21	3	HEY1;BMP7;DLL4
gse118713	go_bp	GOBP_ENERGY_HOMEOSTASIS	1.0767765944269667	0.32974910394265233	0.5683130139565733	52	13	IGF2BP2;FOXO1;PASK;SORL1;CRTC3;PRKAA1;DLL1;TBL1XR1;VGF;STK39;CEBPA;PIK3CA;STAT3
gse118713	go_bp	GOBP_CELLULAR_RESPONSE_TO_ANGIOTENSIN	1.0766837110986989	0.376599634369287	0.6042087564552503	23	8	PRKD1;MAP3K7;PRKCD;FAT1;NFE2L2;ACE;PRKCA;SRC
gse118713	go_bp	GOBP_KERATINOCYTE_DIFFERENTIATION	1.076536998212582	0.32525951557093424	0.5653034385015131	89	17	KRT81;ETV4;OPN3;WNT5A;CD109;ANXA1;ERRFI1;AKR1C3;EXPH5;JAG1;ZFP36L1;BCR;GRHL1;ASAH1;CASP3;PRKCH;CDKN1A
gse118713	go_bp	GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	1.076447960020263	0.35834896810506567	0.5884685258964144	16	6	FURIN;LYN;FYN;YES1;SRC;PSMA1
gse118713	go_bp	GOBP_REGULATION_OF_KIDNEY_DEVELOPMENT	1.0764286289107896	0.37453874538745385	0.602661905096357	22	7	SOX9;SIX2;MAGED1;TGFB1;WNT4;VEGFA;FOXD1
gse118713	go_bp	GOBP_CELLULAR_RESPONSE_TO_LIGHT_STIMULUS	1.076330812360641	0.33570159857904086	0.5748949401787331	84	15	TIMP1;MMP9;OPN3;BMF;SMPD1;TP53INP1;ST20;ERCC1;EIF2AK4;SDE2;PRKCD;CDKN1A;PARP1;ATF4;USP47
gse118713	go_bp	GOBP_LEUKOCYTE_PROLIFERATION	1.076235489574846	0.2956810631229236	0.540054024395391	172	37	TNFRSF21;RASSF5;ANXA1;TGFBR2;LEF1;AHR;LYN;NCK2;F2RL1;MYD88;BID;LGALS3;TGFB1;STAT6;CORO1A;LMBR1L;WNT4;CLCF1;SLC4A2;JUNB;PRNP;CEBPB;IL18;AGER;PNP;CNN2;CASP3;PRKCD;CTNNB1;ELF4;NDFIP1;ACE;FYN;CDKN1A;EPHB2;SH3RF1;ERBB2
