collection	pathway	resistance_consensus_class	resistance_median_NES	resistance_datasets_FDR05	gse245601_NES	gse245601_fdr	crispr_NES	crispr_fdr	candidates_connected	convergence_category
reactome	REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	LOW_EVIDENCE	0.9164450251505872	0	-2.0521462889634443	0.0007467998629421	0.6818496112643929	0.9804609701125973		ACUTE_RESPONSE
go_bp	GOBP_RESPONSE_TO_COPPER_ION	LOW_EVIDENCE	0.7134952038056543	0	2.0198076158709477	0.0031090884270021	0.781180589237453	0.9107724978625996		ACUTE_RESPONSE
go_bp	GOBP_RESPONSE_TO_CADMIUM_ION	LOW_EVIDENCE	0.8554682534941793	0	1.951442666455241	0.0044592515110012	0.9526876980628012	0.7937268049715749		ACUTE_RESPONSE
reactome	REACTOME_RHOF_GTPASE_CYCLE	LOW_EVIDENCE	0.9602985175407742	0	-1.831125594102602	0.0109048012715036	1.3489727663741105	0.3000126494212889		ACUTE_RESPONSE
go_bp	GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS	LOW_EVIDENCE	1.0622159782298428	0	-1.467884833006189	0.0185036152574024	-1.195092463890166	0.3322644273460279		ACUTE_RESPONSE
go_bp	GOBP_CELLULAR_RESPONSE_TO_CADMIUM_ION	LOW_EVIDENCE	0.9823803005919448	0	2.005381625378881	0.0043767255882253	0.9372243861872652	0.8139418812584314		ACUTE_RESPONSE
go_bp	GOBP_AUTOPHAGY_OF_MITOCHONDRION	LOW_EVIDENCE	1.1278773943499243	0	2.037567049358434	0.0001293922336481	1.0965863600846737	0.6723397826144918		ACUTE_RESPONSE
go_bp	GOBP_TRNA_METABOLIC_PROCESS	LOW_EVIDENCE	-0.919909936219396	0	-1.596848059530268	0.0125361181459132	-1.090506711309602	0.6102524106636416		ACUTE_RESPONSE
go_bp	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	LOW_EVIDENCE	1.2540311049437902	0	2.502755263411311	6.871465474851043e-08	1.0539578664318785	0.715419350813433		ACUTE_RESPONSE
go_bp	GOBP_METHYLATION	LOW_EVIDENCE	-0.9281041876949436	0	-1.4909677365511411	0.032971824034503	-1.218930287758174	0.4219067509595846		ACUTE_RESPONSE
