gene	ranking_stat	log2fc	p_value	fdr	ranking_stat_method
ELP5	2.84212513858559	0.7023389800982471	0.010627581066097708	0.5571147480382764	effect_size/se (Wald z)
C1orf174	2.83970599896386	0.7873764236797829	0.010683439789738765	0.5571147480382764	effect_size/se (Wald z)
PAN2	2.8355648654982715	1.0107410859011114	0.010779715730970299	0.5571147480382764	effect_size/se (Wald z)
KLK10	2.8265729296796547	0.6499669670961561	0.010991646153219958	0.5571147480382764	effect_size/se (Wald z)
SPATC1	2.8261857623475035	0.6835081366260018	0.011000860604657848	0.5571147480382764	effect_size/se (Wald z)
NXNL2	2.8259813201419703	1.2168710597692707	0.011005729253687027	0.5571147480382764	effect_size/se (Wald z)
POLR3C	2.825373557702666	0.9998547574104908	0.011020214921478184	0.5571147480382764	effect_size/se (Wald z)
RBM10	2.825352563919173	0.7022173158429625	0.011020715623374087	0.5571147480382764	effect_size/se (Wald z)
TMEM245	2.8238078140153613	0.8769456610910122	0.011057617950413934	0.5571147480382764	effect_size/se (Wald z)
SYTL4	2.822790912625485	0.916429402707907	0.01108197533486119	0.5571147480382764	effect_size/se (Wald z)
ZNF782	2.8204342444198414	0.6875138514947894	0.011138621836923046	0.5571147480382764	effect_size/se (Wald z)
P2RX4	2.8157761273315307	0.8563399318716902	0.011251406719700315	0.558274344328403	effect_size/se (Wald z)
RLN2	2.814123979254561	0.8348212112239706	0.011291672263149819	0.5588207648781114	effect_size/se (Wald z)
SPANXN1	2.808360033587323	1.0762438447208549	0.011433235079527926	0.5615854488854732	effect_size/se (Wald z)
SPATA6L	2.805544950591824	1.160880529797514	0.011502991330993272	0.561746941082457	effect_size/se (Wald z)
IL17RB	2.802728330077324	0.8963745047254488	0.011573194351830232	0.561746941082457	effect_size/se (Wald z)
YTHDF2	2.8009123723966534	0.7828124673867105	0.011618674071822531	0.561746941082457	effect_size/se (Wald z)
FUBP3	2.8003079223289227	0.8078439743166861	0.011633850211906185	0.561746941082457	effect_size/se (Wald z)
SPANXD	2.792117693127926	0.8997770646775232	0.011841368933660707	0.561746941082457	effect_size/se (Wald z)
ARFGEF2	2.787184280187096	0.7901225972347516	0.011968076762019894	0.561746941082457	effect_size/se (Wald z)
MAU2	2.7870463583785687	0.894745787804089	0.011971637702783639	0.561746941082457	effect_size/se (Wald z)
DNAJC15	2.786983604938876	0.9774694912161372	0.011973258241637467	0.561746941082457	effect_size/se (Wald z)
ITGA5	2.781379354194541	0.6866277281624393	0.012118832902443658	0.561746941082457	effect_size/se (Wald z)
OTUD1	2.7808151760887716	0.6737522588349076	0.012133581481660022	0.561746941082457	effect_size/se (Wald z)
ENDOD1	2.7806615493983045	0.7749763400034837	0.012137600524446712	0.561746941082457	effect_size/se (Wald z)
CFAP20	2.7781626285614642	1.1315544079101016	0.012203154453799886	0.561746941082457	effect_size/se (Wald z)
MAGED2	2.777538889595303	0.6743106509730774	0.012219569763924626	0.561746941082457	effect_size/se (Wald z)
ABHD13	2.77738178279966	0.8540908342864322	0.01222370777160669	0.561746941082457	effect_size/se (Wald z)
PTPRF	2.7764110290577375	0.7063989774279564	0.012249306073628728	0.561746941082457	effect_size/se (Wald z)
TMEM168	2.767267645330958	0.8628460490627834	0.012492945698043243	0.5631982085862999	effect_size/se (Wald z)
PLOD2	2.7649754926862196	1.333810011311229	0.012554747340085375	0.5631982085862999	effect_size/se (Wald z)
FOXP1	2.7641031950047474	0.7561631066862073	0.012578343276618236	0.5631982085862999	effect_size/se (Wald z)
PDK4	2.7634042963611707	0.9555470105498411	0.012597279343986809	0.5631982085862999	effect_size/se (Wald z)
BRAT1	2.7621158231508587	0.9818872498627593	0.01263226099474155	0.5631982085862999	effect_size/se (Wald z)
FBXL16	2.7578233886410137	0.742312858909143	0.012749471406268321	0.5631982085862999	effect_size/se (Wald z)
ZBTB34	2.755413648903338	0.8469033111489415	0.01281572788313839	0.5631982085862999	effect_size/se (Wald z)
SMPX	2.7548096653282914	0.859031353574732	0.012832386153324904	0.5631982085862999	effect_size/se (Wald z)
NCOR2	2.752400874295107	0.87165175602658	0.0128990285357391	0.5638676021011991	effect_size/se (Wald z)
SEC16A	2.745016615448383	1.0330943678622093	0.013105393303853862	0.5676923543843999	effect_size/se (Wald z)
GGNBP2	2.7398400215978462	0.7620310806721582	0.013251939973465314	0.5686497192490916	effect_size/se (Wald z)
ATP6V0E1	2.7298021210134493	0.8454354357285085	0.013540583667195304	0.5723022794369632	effect_size/se (Wald z)
NCMAP	2.7262997455573945	0.621626320778355	0.013642702242845679	0.5723022794369632	effect_size/se (Wald z)
ABI1	2.723341927609679	0.8158417716574302	0.013729515797871223	0.5723022794369632	effect_size/se (Wald z)
TBC1D28	2.7230258445132223	0.8477078674157452	0.013738824151025715	0.5723022794369632	effect_size/se (Wald z)
GPSM1	2.7225828284679694	0.7016244597450161	0.013751880706059072	0.5723022794369632	effect_size/se (Wald z)
ZNF367	2.722491774457692	0.6616796439380037	0.013754565714738008	0.5723022794369632	effect_size/se (Wald z)
VHL	2.7176270195389542	0.9793612756894738	0.013898748173473216	0.5737403952632658	effect_size/se (Wald z)
NPAP1	2.7147607749997578	0.9126457778783523	0.013984372832139005	0.575740246147309	effect_size/se (Wald z)
B4GALT1	2.7081255573501055	0.8903873160808358	0.014184525941697477	0.5803263798458549	effect_size/se (Wald z)
ZBTB7B	2.7062827759697403	1.211361379318598	0.014240597169148312	0.5803263798458549	effect_size/se (Wald z)
ZFP36L2	2.702998040316148	0.7520125125138941	0.014341068271944694	0.5803263798458549	effect_size/se (Wald z)
SEC61B	2.7003023738221685	1.2581612370278128	0.014424026163999565	0.5803263798458549	effect_size/se (Wald z)
