cluster	patient	condition	n_cells
12	Tumor_10	Tamoxifen	102
13	Tumor_10	Tamoxifen	30
14	Tumor_10	Tamoxifen	6
15	Tumor_10	Tamoxifen	45
16	Tumor_10	Tamoxifen	5
17	Tumor_10	Tamoxifen	22
18	Tumor_10	Tamoxifen	35
19	Tumor_10	Tamoxifen	4
20	Tumor_10	Tamoxifen	66
22	Tumor_10	Tamoxifen	5
24	Tumor_10	Tamoxifen	14
26	Tumor_10	Tamoxifen	1
