patient	malignancy_status	condition	gene	n_cells	pseudobulk_raw_umi	pseudobulk_library_size	pseudobulk_normalized_expression	fraction_expressing	mean_normalized_per_cell	median_normalized_per_cell	mean_normalized_positive_cells_only	median_normalized_positive_cells_only
Tumor_03	malignant	Tamoxifen	VEZF1	582	847.0	18908726.0	5.517090892658665	0.6786941580756014	0.3348613879967817	0.2972414289590845	0.4933907033269037	0.436908982148152
Tumor_03	malignant	Tamoxifen	EML5	582	7.0	18908726.0	0.45438591305575954	0.012027491408934709	0.002519700463029479	0.0	0.20949509564045096	0.224638541865147
Tumor_03	malignant	Tamoxifen	CITED2	582	415.0	18908726.0	4.520267531140703	0.3539518900343643	0.14779886864414182	0.0	0.4175676774315075	0.36467940299014445
Tumor_03	non-malignant epithelial	Control	USP34	237	1398.0	12205285.0	6.85225539903153	0.8818565400843882	0.7215851878142412	0.74972884653308	0.818256887617106	0.824966700511372
Tumor_03	non-malignant epithelial	Control	VEZF1	237	841.0	12205285.0	6.127315013842193	0.7848101265822784	0.4861075055643838	0.494832258302637	0.6193950474126827	0.601277985426165
Tumor_03	non-malignant epithelial	Control	EML5	237	12.0	12205285.0	0.9878160977847105	0.05063291139240506	0.0072786563546053465	0.0	0.14375346300345557	0.1092771278513584
Tumor_03	non-malignant epithelial	Control	CITED2	237	442.0	12205285.0	5.217766604586673	0.5316455696202531	0.26224317230645405	0.0952021207313212	0.49326691933833017	0.4061747882746505
Tumor_03	non-malignant epithelial	Tamoxifen	USP34	523	1311.0	15967533.0	6.376847830279059	0.7208413001912046	0.4919048269607629	0.516625478168097	0.6824037785158594	0.671825752847869
Tumor_03	non-malignant epithelial	Tamoxifen	VEZF1	523	931.0	15967533.0	5.890101626173924	0.6500956022944551	0.38835954321996996	0.358183507635601	0.5973883561883656	0.558966488071222
Tumor_03	non-malignant epithelial	Tamoxifen	EML5	523	10.0	15967533.0	0.7015675276873001	0.019120458891013385	0.005642707565372861	0.0	0.2951136056690006	0.24785107352872948
Tumor_03	non-malignant epithelial	Tamoxifen	CITED2	523	656.0	15967533.0	5.395178191733304	0.47992351816443596	0.2468123757675895	0.0	0.5142743925356547	0.417703586144635
Tumor_04	all_epithelial	Control	USP34	151	212.0	3009328.0	6.158814080096072	0.6026490066225165	0.43551979463798873	0.383536063023365	0.7226757031905088	0.641326177303987
Tumor_04	all_epithelial	Control	VEZF1	151	120.0	3009328.0	5.353182550459557	0.423841059602649	0.24970576311480697	0.0	0.5891495348489977	0.537394416847669
Tumor_04	all_epithelial	Control	EML5	151	3.0	3009328.0	0.9977623079579487	0.013245033112582781	0.007441164568163555	0.0	0.5618079248963485	0.5618079248963485
Tumor_04	all_epithelial	Control	CITED2	151	224.0	3009328.0	6.237166409064995	0.5165562913907285	0.4203407072217286	0.260619853417017	0.8137364973138593	0.6204502299754115
Tumor_04	all_epithelial	Tamoxifen	USP34	70	128.0	1612902.0	6.328406741763011	0.6428571428571429	0.45698643238737663	0.5175732655240535	0.710867783713697	0.66450577593972
Tumor_04	all_epithelial	Tamoxifen	VEZF1	70	135.0	1612902.0	6.404291147948404	0.6714285714285714	0.4651190323140606	0.495496292878126	0.6927304736592391	0.620096011674989
Tumor_04	all_epithelial	Tamoxifen	EML5	70	2.0	1612902.0	1.1634993392456268	0.02857142857142857	0.01015121114417297	0.0	0.35529239004605395	0.35529239004605395
Tumor_04	all_epithelial	Tamoxifen	CITED2	70	163.0	1612902.0	6.673274822315292	0.5142857142857142	0.45844158033962656	0.2243547431359565	0.8914141839937181	0.5930642821549715
Tumor_04	malignant	Control	USP34	0	0.0	0.0						
Tumor_04	malignant	Control	VEZF1	0	0.0	0.0						
Tumor_04	malignant	Control	EML5	0	0.0	0.0						
Tumor_04	malignant	Control	CITED2	0	0.0	0.0						
Tumor_04	malignant	Tamoxifen	USP34	1	2.0	8247.0	7.927851598450571	1.0	1.23113775941191	1.23113775941191	1.23113775941191	1.23113775941191
