stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000264634	9606.ENSP00000294304	WNT5A	LRP5	9606	0.933	0	0	0	0	0	0	0.933
9606.ENSP00000264634	9606.ENSP00000418754	WNT5A	PTK7	9606	0.962	0	0	0	0	0.043	0	0.962
9606.ENSP00000265148	9606.ENSP00000271452	CENPE	NUF2	9606	0.712	0	0	0	0	0.457	0	0.491
9606.ENSP00000265148	9606.ENSP00000301633	CENPE	BIRC5	9606	0.721	0	0	0	0	0	0	0.721
9606.ENSP00000265148	9606.ENSP00000355922	CENPE	CENPF	9606	0.881	0	0	0	0	0.23	0	0.852
9606.ENSP00000265148	9606.ENSP00000287598	CENPE	BUB1B	9606	0.989	0	0	0	0	0.457	0	0.98
9606.ENSP00000265165	9606.ENSP00000332973	LEF1	SMAD3	9606	0.951	0	0	0	0	0.457	0	0.914
9606.ENSP00000265165	9606.ENSP00000495360	LEF1	CTNNB1	9606	0.999	0	0	0	0	0.961	0.9	0.985
9606.ENSP00000269305	9606.ENSP00000313950	TP53	AURKB	9606	0.716	0	0	0	0	0.457	0.5	0
9606.ENSP00000269305	9606.ENSP00000310572	TP53	PSMC5	9606	0.793	0	0	0	0	0.457	0	0.636
9606.ENSP00000269305	9606.ENSP00000501092	TP53	TFAP2A	9606	0.844	0	0	0	0	0.457	0	0.725
9606.ENSP00000269305	9606.ENSP00000332973	TP53	SMAD3	9606	0.858	0	0	0	0	0.457	0	0.749
9606.ENSP00000269305	9606.ENSP00000300093	TP53	PLK1	9606	0.877	0	0	0	0	0.465	0	0.781
9606.ENSP00000269305	9606.ENSP00000368370	TP53	WT1	9606	0.88	0	0	0	0	0.457	0	0.789
9606.ENSP00000269305	9606.ENSP00000339527	TP53	FOXO3	9606	0.974	0	0	0	0	0.542	0	0.947
9606.ENSP00000269305	9606.ENSP00000437955	TP53	HIF1A	9606	0.981	0	0	0	0	0.621	0	0.954
9606.ENSP00000269305	9606.ENSP00000345347	TP53	HMGB1	9606	0.989	0	0	0	0	0.955	0	0.761
9606.ENSP00000269571	9606.ENSP00000495360	ERBB2	CTNNB1	9606	0.89	0	0	0	0	0.457	0	0.807
9606.ENSP00000269571	9606.ENSP00000362680	ERBB2	SRC	9606	0.984	0	0	0	0	0.457	0	0.973
9606.ENSP00000270586	9606.ENSP00000388107	PSMB6	UBA52	9606	0.826	0	0	0	0	0.826	0	0
9606.ENSP00000270586	9606.ENSP00000478771	PSMB6	UBB	9606	0.836	0	0	0	0	0.836	0	0
9606.ENSP00000270586	9606.ENSP00000441543	PSMB6	UBC	9606	0.837	0	0	0	0	0.836	0	0
9606.ENSP00000270586	9606.ENSP00000272317	PSMB6	RPS27A	9606	0.875	0	0	0	0	0.875	0	0
9606.ENSP00000270586	9606.ENSP00000481029	PSMB6	PSMC3	9606	0.951	0	0	0	0	0.951	0	0
9606.ENSP00000270586	9606.ENSP00000310572	PSMB6	PSMC5	9606	0.956	0	0	0	0	0.95	0	0.162
9606.ENSP00000271452	9606.ENSP00000389810	NUF2	DSN1	9606	0.834	0	0	0	0	0.655	0.54	0
9606.ENSP00000271452	9606.ENSP00000282074	NUF2	SPC25	9606	0.987	0	0	0	0	0.815	0.9	0.353
9606.ENSP00000272317	9606.ENSP00000348838	RPS27A	UBE2C	9606	0.706	0	0	0	0	0.437	0.5	0
9606.ENSP00000272317	9606.ENSP00000310572	RPS27A	PSMC5	9606	0.888	0	0	0	0	0.888	0	0
9606.ENSP00000272317	9606.ENSP00000481029	RPS27A	PSMC3	9606	0.892	0	0	0	0	0.892	0	0
9606.ENSP00000272317	9606.ENSP00000381577	RPS27A	USP34	9606	0.913	0	0	0	0	0.913	0	0
9606.ENSP00000272317	9606.ENSP00000314004	RPS27A	ANAPC2	9606	0.947	0	0	0	0	0.9	0.5	0
9606.ENSP00000272317	9606.ENSP00000478771	RPS27A	UBB	9606	0.994	0	0	0	0	0.947	0.9	0
9606.ENSP00000272317	9606.ENSP00000441543	RPS27A	UBC	9606	0.995	0	0	0	0	0.956	0.9	0
9606.ENSP00000272317	9606.ENSP00000388107	RPS27A	UBA52	9606	0.999	0	0	0	0	0.99	0.9	0
9606.ENSP00000275517	9606.ENSP00000313950	CDCA5	AURKB	9606	0.787	0	0	0	0	0	0	0.787
9606.ENSP00000275517	9606.ENSP00000354720	CDCA5	SMC3	9606	0.955	0	0	0	0	0.658	0.5	0.758
9606.ENSP00000282074	9606.ENSP00000389810	SPC25	DSN1	9606	0.842	0	0	0	0	0.671	0.54	0
9606.ENSP00000287598	9606.ENSP00000288207	BUB1B	CCNB2	9606	0.72	0	0	0	0	0	0	0.72
9606.ENSP00000287598	9606.ENSP00000482063	BUB1B	PCGF2	9606	0.72	0	0	0	0	0	0.72	0
9606.ENSP00000287598	9606.ENSP00000348838	BUB1B	UBE2C	9606	0.826	0	0	0	0	0.287	0.72	0.199
9606.ENSP00000287598	9606.ENSP00000300093	BUB1B	PLK1	9606	0.947	0	0	0	0	0.457	0.72	0.683
9606.ENSP00000287598	9606.ENSP00000437360	BUB1B	ANAPC15	9606	0.952	0	0	0	0	0.837	0.72	0
9606.ENSP00000287598	9606.ENSP00000313950	BUB1B	AURKB	9606	0.953	0	0	0	0	0.292	0	0.937
9606.ENSP00000287598	9606.ENSP00000355922	BUB1B	CENPF	9606	0.972	0	0	0	0	0	0.9	0.734
9606.ENSP00000287598	9606.ENSP00000348554	BUB1B	CDC16	9606	0.988	0	0	0	0	0.948	0.72	0.278
9606.ENSP00000287598	9606.ENSP00000314004	BUB1B	ANAPC2	9606	0.992	0	0	0	0	0.963	0.72	0.274
9606.ENSP00000287598	9606.ENSP00000361540	BUB1B	CDC20	9606	0.999	0	0	0	0	0.979	0.8	0.984
9606.ENSP00000287820	9606.ENSP00000332973	PPARG	SMAD3	9606	0.867	0	0	0	0	0.457	0	0.766
9606.ENSP00000287820	9606.ENSP00000495360	PPARG	CTNNB1	9606	0.964	0	0	0	0	0.457	0	0.937
9606.ENSP00000288207	9606.ENSP00000313950	CCNB2	AURKB	9606	0.726	0	0	0	0	0	0	0.726
9606.ENSP00000294304	9606.ENSP00000495360	LRP5	CTNNB1	9606	0.886	0	0	0	0	0.292	0.72	0.473
9606.ENSP00000299084	9606.ENSP00000351015	SPRED1	NF1	9606	0.933	0	0	0	0	0.643	0.4	0.716
9606.ENSP00000300093	9606.ENSP00000361540	PLK1	CDC20	9606	0.785	0	0	0	0	0.734	0	0.227
9606.ENSP00000300093	9606.ENSP00000355922	PLK1	CENPF	9606	0.812	0	0	0	0	0	0.72	0.358
9606.ENSP00000301633	9606.ENSP00000313950	BIRC5	AURKB	9606	0.998	0	0	0	0	0.5	0.8	0.983
9606.ENSP00000301633	9606.ENSP00000362146	BIRC5	CDCA8	9606	0.999	0	0	0	0	0.773	0.8	0.984
9606.ENSP00000301633	9606.ENSP00000378295	BIRC5	INCENP	9606	0.999	0	0	0	0	0.756	0.8	0.983
9606.ENSP00000310572	9606.ENSP00000478771	PSMC5	UBB	9606	0.847	0	0	0	0	0.847	0	0
9606.ENSP00000310572	9606.ENSP00000388107	PSMC5	UBA52	9606	0.864	0	0	0	0	0.864	0	0
9606.ENSP00000310572	9606.ENSP00000441543	PSMC5	UBC	9606	0.898	0	0	0	0	0.898	0	0
9606.ENSP00000310572	9606.ENSP00000481029	PSMC5	PSMC3	9606	0.994	0	0	0	0	0.959	0.72	0.524
9606.ENSP00000313950	9606.ENSP00000361540	AURKB	CDC20	9606	0.81	0	0	0	0	0.292	0	0.743
