gene_id	gene_symbol	log2fc	se	moderated_t	p_value	fdr	ave_expr	contrast	direction	crispr_direction	evidence_class	is_gate1_hit
ENSG00000167110	GOLGA2	-0.375366148733799	0.167084049409288	-2.24657081307806	0.0477675290590289	0.117834513080278	6.04388183233679	TAMR_vs_MCF7	down			False
ENSG00000250090	RP13-401N8.3	-0.561444515101399	0.249959545696998	-2.24614152476491	0.0478026799246217	0.117901623125255	2.14361447365684	TAMR_vs_MCF7	down			False
ENSG00000267288	RP13-890H12.2	0.467126582414981	0.208024463620068	2.24553677142576	0.0478522405155126	0.118004245432803	1.36089358723829	TAMR_vs_MCF7	up			False
ENSG00000278615	C11orf48	-0.313662850835872	0.139696467862126	-2.24531697641376	0.047870265380529	0.118029079048901	7.61064856340728	TAMR_vs_MCF7	down			False
ENSG00000164406	LEAP2	0.283068034054526	0.126095541034589	2.24486949920678	0.0479069821652236	0.118099983613156	1.45458599338105	TAMR_vs_MCF7	up			False
ENSG00000153832	FBXO36	0.331833993458034	0.147853044218666	2.24435009242874	0.047949635048836	0.118185495823028	1.55750612401253	TAMR_vs_MCF7	up			False
ENSG00000124145	SDC4	-0.427120129134142	0.190326472151857	-2.24414462321012	0.0479665179748611	0.118207472797042	6.08942297134055	TAMR_vs_MCF7	down			False
ENSG00000003402	CFLAR	0.512594099000424	0.228462714473619	2.24366632507824	0.0480058408303004	0.118284733683161	4.02818771544307	TAMR_vs_MCF7	up			False
ENSG00000102547	CAB39L	-0.389509924366422	0.173615821946971	-2.24351628784958	0.0480181824138058	0.118295499029728	2.26751191225684	TAMR_vs_MCF7	down			False
ENSG00000213780	GTF2H4	-0.389421249306487	0.173602918560315	-2.24317224926833	0.0480464934857305	0.118325953583613	4.99398953882885	TAMR_vs_MCF7	down			False
ENSG00000204959	ARHGEF34P	0.383623994009922	0.171011420058253	2.24326535549055	0.0480388301488972	0.118325953583613	1.54979544509756	TAMR_vs_MCF7	up			False
ENSG00000181220	ZNF746	0.41283204329329	0.184059442656601	2.24292781361676	0.0480666179759455	0.11833623320509	3.08864791491151	TAMR_vs_MCF7	up			False
ENSG00000132963	POMP	0.326345300344459	0.145495521634449	2.24299206379964	0.0480613274437373	0.11833623320509	6.48303972910818	TAMR_vs_MCF7	up			False
ENSG00000138777	PPA2	-0.322375253545243	0.143754602496871	-2.24253865925621	0.0480986739958856	0.118395508419202	7.31762068418388	TAMR_vs_MCF7	down			False
ENSG00000115310	RTN4	0.485193484402547	0.216383366029564	2.24228642573319	0.0481194623756933	0.11841953252151	6.88374529751763	TAMR_vs_MCF7	up			False
