gene	n_datasets_testable	coverage_tier	max_evidence_percentile	max_percentile_dataset	crispr_evidence_percentile	gse118713_evidence_percentile	gse245601_evidence_percentile	gse240112_evidence_percentile	gse111151_evidence_percentile
RP3-471C18.2	1	E	0.9984433490233868	gse111151_evidence_percentile					0.9984433490233868
AC027031.2	2	D	0.9984262223910566	gse240112_evidence_percentile			0.7336447400864838	0.9984262223910566	
CNN1	2	D	0.9983876348270877	gse245601_evidence_percentile	0.4488011726520783		0.9983876348270877		
F8A3	2	D	0.9983771332844729	crispr_evidence_percentile	0.9983771332844729		0.8705437835288393		
VDAC1P10	1	E	0.9983321596679144	gse111151_evidence_percentile					0.9983321596679144
CTC-448D22.1	1	E	0.9982950965494237	gse111151_evidence_percentile					0.9982950965494237
RP11-379F12.4	2	D	0.9982312925170068	gse118713_evidence_percentile		0.9982312925170068			0.7488232459879174
HLA-DQB1-AS1	1	E	0.9981839071939513	gse111151_evidence_percentile					0.9981839071939513
RP11-865I6.2	2	D	0.9981632653061224	gse118713_evidence_percentile		0.9981632653061224			0.9921796819984433
CTD-3179P9.1	1	E	0.9981468440754605	gse111151_evidence_percentile					0.9981468440754605
JHDM1D-AS1	2	D	0.9981097809569697	gse111151_evidence_percentile		0.16265306122448975			0.9981097809569697
RP11-431J24.2	1	E	0.998072717838479	gse111151_evidence_percentile					0.998072717838479
AC011994.1	1	E	0.9980356547199881	gse111151_evidence_percentile					0.9980356547199881
BCAR4	1	E	0.9979615284830066	gse111151_evidence_percentile					0.9979615284830066
SMIM31	2	D	0.99793780865035	gse240112_evidence_percentile			0.4457110536107991	0.99793780865035	
ERG28	2	D	0.9979276913352332	gse245601_evidence_percentile			0.9979276913352332	0.10327237206273399	
RMST_3	1	E	0.9977020866535711	gse111151_evidence_percentile					0.9977020866535711
CCN5	1	E	0.9976664676832908	gse240112_evidence_percentile				0.9976664676832908	
MLK4	2	D	0.9975908972980987	gse111151_evidence_percentile		0.8527891156462585			0.9975908972980987
GSTA3	2	D	0.9975538341796079	gse111151_evidence_percentile	0.16930164380693125				0.9975538341796079
