gene	crispr_effect	crispr_p	crispr_fdr	crispr_direction	crispr_fdr_significant	crispr_evidence_percentile
ACTRT3	0.3355547661644236	0.4607613082412523	0.891219112291385	tolerance_associated_KO	False	0.4831431263742016
HERC5	-0.2076304085568781	0.4607779097695746	0.891219112291385	sensitising_KO	False	0.483090775834991
SIL1	0.3647959494043125	0.4608422637344031	0.891219112291385	tolerance_associated_KO	False	0.4830384252957805
TMEM244	0.2444166666020955	0.4608608110471142	0.891219112291385	tolerance_associated_KO	False	0.4829860747565699
OTOP2	-0.3092330558646274	0.4609970820848793	0.891219112291385	sensitising_KO	False	0.4829337242173595
APOBEC3H	-0.2064915027715494	0.460999727442004	0.891219112291385	sensitising_KO	False	0.4828813736781489
IFT140	0.2458309600832198	0.4610312989213688	0.891219112291385	tolerance_associated_KO	False	0.4828290231389384
FHL5	0.2984907093314604	0.4610896803272317	0.891219112291385	tolerance_associated_KO	False	0.4827766725997278
PLCB3	0.3732339957008461	0.461136015551928	0.891219112291385	tolerance_associated_KO	False	0.4827243220605172
CA8	0.2160373741080503	0.4611765803902448	0.891219112291385	tolerance_associated_KO	False	0.4826719715213067
RTF1	0.3009051656441865	0.4612127215319432	0.891219112291385	tolerance_associated_KO	False	0.4826196209820961
SNED1	0.2344025041556081	0.4612486287164299	0.891219112291385	tolerance_associated_KO	False	0.4825672704428856
KLK8	0.3517858029883935	0.4612721758948791	0.891219112291385	tolerance_associated_KO	False	0.482514919903675
SLC5A6	0.2667424123853283	0.4612907014147093	0.891219112291385	tolerance_associated_KO	False	0.4824625693644644
ZNF496	-0.3085898596517227	0.4613099349768835	0.891219112291385	sensitising_KO	False	0.4824102188252539
COL17A1	-0.4128349415581747	0.4613915662875972	0.891219112291385	sensitising_KO	False	0.4823578682860433
SFRP4	0.238767091652881	0.4614017180841646	0.891219112291385	tolerance_associated_KO	False	0.4823055177468328
LYPD4	0.1987614905945864	0.4615462924130518	0.8913286382355223	tolerance_associated_KO	False	0.4822531672076222
TUBA1A	0.2817328755636108	0.4615792961578691	0.8913286382355223	tolerance_associated_KO	False	0.4822008166684116
SAGE1	-0.2470648358210576	0.4616365990694632	0.8913286382355223	sensitising_KO	False	0.4821484661292011
KISS1	0.3221890143788011	0.461746982053558	0.8913286382355223	tolerance_associated_KO	False	0.4820961155899905
CDK5R2	0.2461702248635422	0.4618110274265768	0.8913286382355223	tolerance_associated_KO	False	0.48204376505078
LEF1	0.2106001627157754	0.4618160289329646	0.8913286382355223	tolerance_associated_KO	False	0.4819914145115694
CD79A	-0.23854164456354	0.4618300715256715	0.8913286382355223	sensitising_KO	False	0.4819390639723588
GATAD2A	0.2183091349168684	0.4618755756831473	0.8913286382355223	tolerance_associated_KO	False	0.4818867134331484
UCP3	0.2203034743433018	0.4619561959846851	0.8913286382355223	tolerance_associated_KO	False	0.4818343628939378
USP25	-0.228360203392782	0.4619852278249863	0.8913286382355223	sensitising_KO	False	0.4817820123547273
C2orf42	0.2029732926991254	0.4619940685486989	0.8913286382355223	tolerance_associated_KO	False	0.4817296618155167
NSA2	-0.3164562071506358	0.4620183309327405	0.8913286382355223	sensitising_KO	False	0.4816773112763062
