gene	anon_id
AC145207.2	Gene00910
FAHD2B	Gene00911
MON2	Gene00912
RP11-144O23.8	Gene00913
RP11-343H5.4	Gene00914
CIZ1	Gene00915
MUC3A	Gene00916
ITGB2-AS1	Gene00917
TRIM3	Gene00918
TAS1R1	Gene00919
THBD	Gene00920
RP11-128I7.1	Gene00921
RP11-654D12.3	Gene00922
RP11-545D19.1	Gene00923
FMN1	Gene00924
OR4D2	Gene00925
MYOF	Gene00926
CTA-243E7.1	Gene00927
PQLC2L	Gene00928
AE000658.22	Gene00929
RORC	Gene00930
RHBDF2	Gene00931
BTD	Gene00932
NSA2	Gene00933
ATXN3	Gene00934
LOC101927844	Gene00935
SLC22A10	Gene00936
AC007878.1	Gene00937
AC005307.3	Gene00938
AC024941.2	Gene00939
TEX33	Gene00940
AP000473.8	Gene00941
RP11-33E12.2	Gene00942
MTND2P29	Gene00943
UBE2U	Gene00944
AARS	Gene00945
DDN-AS1	Gene00946
LMO1	Gene00947
RP4-798A10.4	Gene00948
FAM19A2	Gene00949
AC026785.2	Gene00950
AL117327.1	Gene00951
RP11-430B1.1	Gene00952
PJA1	Gene00953
TNRC6A	Gene00954
FLJ12825	Gene00955
APLP2	Gene00956
EPHB3	Gene00957
C10orf25	Gene00958
ENO3	Gene00959
RP11-500G10.5	Gene00960
SOWAHC	Gene00961
TNNI3K	Gene00962
TCF15	Gene00963
EDDM3CP	Gene00964
AC007036.6	Gene00965
EAF1	Gene00966
AP001885.3	Gene00967
RP13-88F20.1	Gene00968
UFM1	Gene00969
RN7SL431P	Gene00970
OR8J3	Gene00971
AGK	Gene00972
INTS9	Gene00973
RP11-57K17.1	Gene00974
WDCP	Gene00975
OGG1	Gene00976
TRIM38	Gene00977
CSMD1	Gene00978
RP3-412A9.16	Gene00979
B3GNT8	Gene00980
KLHL26	Gene00981
AC018754.1	Gene00982
AL590637.1	Gene00983
SYS1-DBNDD2	Gene00984
RB1-DT	Gene00985
GABRA2	Gene00986
LOC101060389	Gene00987
AC074032.1	Gene00988
RP11-692D12.1	Gene00989
RP11-848G14.5	Gene00990
RP11-108K3.1	Gene00991
AC079305.1	Gene00992
FLNA	Gene00993
WDHD1	Gene00994
SLC22A2	Gene00995
CROCC	Gene00996
PTCD2	Gene00997
APPL1	Gene00998
AC002400.1	Gene00999
AC104532.2	Gene01000
AC019185.4	Gene01001
KCNQ2	Gene01002
FLJ13224	Gene01003
GS1-114I9.1	Gene01004
GOLGA6B	Gene01005
AL512598.1	Gene01006
