gene	global_rank_original	global_rank_anonymized	ranks_match
ZC4H2	11806	11806	True
ZCCHC10	4733	4733	True
ZCCHC14	5193	5193	True
ZCCHC17	9839	9839	True
ZCCHC18	13170	13170	True
ZCCHC2	3864	3864	True
ZCCHC24	403	403	True
ZCCHC3	9957	9957	True
ZCCHC4	9226	9226	True
ZCCHC6	14298	14298	True
ZCCHC7	3638	3638	True
ZCCHC8	10728	10728	True
ZCCHC9	7296	7296	True
ZCRB1	8288	8288	True
ZCWPW1	6929	6929	True
ZCWPW2	12885	12885	True
ZDBF2	7793	7793	True
ZDHHC1	430	430	True
ZDHHC11	9280	9280	True
ZDHHC11B	13978	13978	True
ZDHHC12	2937	2937	True
ZDHHC13	8698	8698	True
ZDHHC14	3661	3661	True
ZDHHC15	14268	14268	True
ZDHHC16	5309	5309	True
ZDHHC17	10998	10998	True
ZDHHC18	7356	7356	True
ZDHHC2	12028	12028	True
ZDHHC20	8376	8376	True
ZDHHC21	2897	2897	True
ZDHHC23	8498	8498	True
ZDHHC24	6671	6671	True
ZDHHC3	6581	6581	True
ZDHHC4	3470	3470	True
ZDHHC5	5157	5157	True
ZDHHC6	10198	10198	True
ZDHHC7	2289	2289	True
ZDHHC8	2540	2540	True
ZDHHC9	8266	8266	True
ZEB1	11388	11388	True
ZEB1-AS1	11906	11906	True
ZER1	10301	10301	True
ZFAND1	2272	2272	True
ZFAND2A	5165	5165	True
ZFAND2B	5060	5060	True
ZFAND3	8299	8299	True
ZFAND4	1668	1668	True
ZFAND5	2313	2313	True
ZFAND6	8520	8520	True
ZFAS1	11685	11685	True
ZFAT	10673	10673	True
ZFC3H1	5254	5254	True
ZFHX2	4119	4119	True
ZFHX3	7093	7093	True
ZFHX4	14161	14161	True
ZFP1	3011	3011	True
ZFP14	10787	10787	True
ZFP2	12385	12385	True
ZFP28	14681	14681	True
ZFP3	1132	1132	True
ZFP30	9654	9654	True
ZFP36	3639	3639	True
ZFP36L1	444	444	True
ZFP36L2	4842	4842	True
ZFP37	14395	14395	True
ZFP41	9547	9547	True
ZFP62	10659	10659	True
ZFP64	10394	10394	True
ZFP69	9912	9912	True
ZFP69B	4491	4491	True
ZFP82	14934	14934	True
