gene	n_datasets_testable	n_datasets_fdr05	median_evidence_percentile	equal_dataset_mean_percentile	rank
SHROOM4	1	0	0.4179361725786723	0.4179361725786723	13610
AL132655.1	1	0	0.4178650892711781	0.4178650892711781	13611
MECP2	2	0	0.41785447838640066	0.41785447838640066	13612
KPNA1	2	0	0.4178302514780854	0.4178302514780854	13613
CEACAM1	2	0	0.4178165246266824	0.4178165246266824	13614
AL390957.1	2	0	0.4177912087344649	0.4177912087344649	13615
HNRNPLL	2	0	0.41778027713960003	0.41778027713960003	13616
POLN	1	0	0.4177340162757924	0.4177340162757924	13617
TRIT1	2	0	0.4177250529798194	0.4177250529798194	13618
M6PR	2	0	0.41772475732569736	0.41772475732569736	13619
RNF213	2	0	0.4177037825267482	0.4177037825267482	13620
AL512422.1	1	0	0.4177022846909426	0.4177022846909426	13621
DOCK10	2	0	0.4176158642910789	0.4176158642910789	13622
DNPEP	2	0	0.4174970326906636	0.4174970326906636	13623
EFNA4	2	0	0.417490747746209	0.417490747746209	13624
AC005410.2	1	0	0.4174852119172952	0.4174852119172952	13625
DKKL1	2	0	0.41748281018917577	0.41748281018917577	13626
POLR2A	2	0	0.4174754984455443	0.4174754984455443	13627
MGAM2	1	0	0.4174357833870789	0.4174357833870789	13628
CCDC18	2	0	0.4174143749517958	0.4174143749517958	13629
MGST2	2	0	0.4173865663119185	0.4173865663119185	13630
PDCD10	2	0	0.41737854091660065	0.41737854091660065	13631
PDCD6	2	0	0.41731224760766905	0.41731224760766905	13632
NUDT15	2	0	0.417283119851051	0.417283119851051	13633
SBNO1	2	0	0.41728211201936616	0.41728211201936616	13634
AC016575.1	1	0	0.417268986989881	0.417268986989881	13635
BRK1	2	0	0.4172149312502726	0.4172149312502726	13636
ADGRF5	1	0	0.4172133881908151	0.4172133881908151	13637
LATS1	2	0	0.4172031967452936	0.4172031967452936	13638
RORB	1	0	0.4171021905926831	0.4171021905926831	13639
THRA	2	0	0.4170560328890125	0.4170560328890125	13640
FASTKD3	2	0	0.41704680017472573	0.41704680017472573	13641
GANC	2	0	0.41703909780891363	0.41703909780891363	13642
SLC9A2	2	0	0.417024542145157	0.417024542145157	13643
AL133338.1	2	0	0.41698065332718226	0.41698065332718226	13644
LARGE2	2	0	0.4169633664787521	0.4169633664787521	13645
ELL	2	0	0.4169495625922299	0.4169495625922299	13646
SNX14	2	0	0.41694678468921187	0.41694678468921187	13647
DIMT1	2	0	0.41693595284370266	0.41693595284370266	13648
AL592430.1	1	0	0.416888261789765	0.416888261789765	13649
LCORL	2	0	0.4168635576556786	0.4168635576556786	13650
ZNF775	2	0	0.4168538516469435	0.4168538516469435	13651
NOL7	2	0	0.41682364249698983	0.41682364249698983	13652
PPM1G	2	0	0.41681173956667095	0.41681173956667095	13653
VAMP7	2	0	0.41676321643891523	0.41676321643891523	13654
STK32C	2	0	0.4167428135690084	0.4167428135690084	13655
EDA	2	0	0.416724598802934	0.416724598802934	13656
HSPA14.1	2	0	0.41669258062974057	0.41669258062974057	13657
AC083799.1	1	0	0.4166711890161176	0.4166711890161176	13658
NOC2L	2	0	0.416659301105317	0.416659301105317	13659
HP1BP3	2	0	0.41663471038101574	0.41663471038101574	13660
PSMA1	2	0	0.41661899513453654	0.41661899513453654	13661
ABCE1	2	0	0.4165393144403218	0.4165393144403218	13662
THAP7	2	0	0.41650708100644995	0.41650708100644995	13663
RNF227	2	0	0.41647605421592054	0.41647605421592054	13664
MRPS35	2	0	0.4164247874933188	0.4164247874933188	13665
HIST1H3G	2	0	0.416399891799131	0.416399891799131	13666
SLC31A2	2	0	0.41638647293496983	0.41638647293496983	13667
NSMCE3	2	0	0.41633539179478685	0.41633539179478685	13668
PRKCH	2	0	0.416332120122511	0.416332120122511	13669
EGFL7	2	0	0.4163096409996536	0.4163096409996536	13670
ITPR3	2	0	0.4162482465320618	0.4162482465320618	13671
DGCR8	2	0	0.41622960966166395	0.41622960966166395	13672
AC016866.2	1	0	0.416182775275411	0.416182775275411	13673
ATP6V0D2	1	0	0.4161477218137392	0.4161477218137392	13674
FAM107B	2	0	0.41613603185352077	0.41613603185352077	13675
CSRP3-AS1	1	0	0.4161285070819992	0.4161285070819992	13676
NFKBIL1	2	0	0.4161171510236691	0.4161171510236691	13677
AP1M1	2	0	0.4159994673566452	0.4159994673566452	13678
TP53I3	2	0	0.4159790565482374	0.4159790565482374	13679
RPL23	2	0	0.4159475993998162	0.4159475993998162	13680
ITIH5	1	0	0.4159346158122984	0.4159346158122984	13681
BBS7	2	0	0.41587006811622007	0.41587006811622007	13682
AC116407.1	2	0	0.415864299541966	0.415864299541966	13683
AC008429.1	2	0	0.4158129605018759	0.4158129605018759	13684
TSTD2	2	0	0.41578339283739596	0.41578339283739596	13685
PMPCB	2	0	0.4157598226778553	0.4157598226778553	13686
LINC02444	1	0	0.4157486297281163	0.4157486297281163	13687
ZNF777	2	0	0.4157095883340073	0.4157095883340073	13688
BRD3	2	0	0.4156290339263635	0.4156290339263635	13689
CDKN2C	2	0	0.4155903065707492	0.4155903065707492	13690
LINC02846	1	0	0.4155858251478808	0.4155858251478808	13691
AC004839.1	1	0	0.4155678450301756	0.4155678450301756	13692
MARCH8	2	0	0.41545171915698886	0.41545171915698886	13693
DDX46	2	0	0.41542000089867337	0.41542000089867337	13694
RPL29	2	0	0.4154105486888543	0.4154105486888543	13695
CCNA2	2	0	0.4153912487301342	0.4153912487301342	13696
ANKRD40	2	0	0.4153531195057416	0.4153531195057416	13697
ERBIN	2	0	0.4153285687244758	0.4153285687244758	13698
RPL21	2	0	0.41532666686725594	0.41532666686725594	13699
LPL	1	0	0.4152674302235072	0.4152674302235072	13700
MAP3K7	2	0	0.4152531066940016	0.4152531066940016	13701
ROR1	2	0	0.41523850991694355	0.41523850991694355	13702
IDUA	2	0	0.415212391425979	0.415212391425979	13703
BTN3A3	1	0	0.4151666047574186	0.4151666047574186	13704
PAF1	2	0	0.4150809139820151	0.4150809139820151	13705
TCN2	1	0	0.4150450350272434	0.4150450350272434	13706
C9orf47	1	0	0.4150358701696568	0.4150358701696568	13707
INO80C	2	0	0.41502782736879745	0.41502782736879745	13708
XRCC4	2	0	0.41501076478370175	0.41501076478370175	13709
MED17	2	0	0.41498872988442215	0.41498872988442215	13710
PSMB7	2	0	0.41497327435740505	0.41497327435740505	13711
AC090061.1	1	0	0.4149346068269387	0.4149346068269387	13712
ALPL	1	0	0.4149338374291115	0.4149338374291115	13713
ZNF571	2	0	0.4149113136003139	0.4149113136003139	13714
ADAMTS2	1	0	0.4148782386300456	0.4148782386300456	13715
TUBB1	1	0	0.4148260704401151	0.4148260704401151	13716
AC139795.3	2	0	0.4147833638434614	0.4147833638434614	13717
FAM241B	2	0	0.41476495393324436	0.41476495393324436	13718
KLHL20	2	0	0.4146943185115102	0.4146943185115102	13719
AC013565.3	1	0	0.4146558434337818	0.4146558434337818	13720
TAF9B	2	0	0.41462574551774367	0.41462574551774367	13721
