gene	n_datasets_testable	n_datasets_fdr05	median_evidence_percentile	equal_dataset_mean_percentile	rank
RNPC3	4	0	0.21602164864314946	0.3334578836021599	17913
RGS7	2	0	0.21598072003407498	0.21598072003407498	17914
EIF4H	4	0	0.2159201112709486	0.27460120566483986	17915
LINC01134	3	0	0.2158901367730457	0.32305872360659366	17916
MARCH5	4	0	0.2158632291593533	0.2863847927412827	17917
DNAL1	4	0	0.2158473387727044	0.2899084272012293	17918
INADL	2	0	0.2156146413941581	0.2156146413941581	17919
ZBTB41	4	0	0.21553750061374738	0.2814974082132034	17920
PPP1R35	4	0	0.21551669288804692	0.2928209531036467	17921
AC018690.1	2	0	0.2154748097914303	0.2154748097914303	17922
ST8SIA6-AS1	3	0	0.2153834063823955	0.30788408643980897	17923
SYTL1	4	0	0.215224300788858	0.30414517332846286	17924
MRM3	2	0	0.2151184101077775	0.2151184101077775	17925
CBR1	4	0	0.21509596001810916	0.3088984316922265	17926
GDF9	3	0	0.2150772766020533	0.20944703177146703	17927
AHCYL1	4	0	0.21496407078911883	0.2529627353825297	17928
WHSC1L1	2	0	0.21495570200950181	0.21495570200950181	17929
NUTM2B	2	0	0.21495288193480575	0.21495288193480575	17930
MTRF1	4	0	0.21492166736993806	0.2470356661595771	17931
SPATA24	4	0	0.21492010394916955	0.2560277307417293	17932
ZDHHC11	4	0	0.21490420371762958	0.3058258817339971	17933
ATXN7	4	0	0.2148850419708188	0.2800235392214194	17934
SLC5A2	2	0	0.21487529229140337	0.21487529229140337	17935
ZFP62	4	0	0.21483917602423824	0.1949535463614903	17936
FNBP1	4	0	0.21480648138119524	0.17390229689448664	17937
ASB16	3	0	0.214780771654127	0.3398960788666214	17938
CDKN2AIP	4	0	0.2147546683735184	0.2405486561037855	17939
LSM3	4	0	0.21471683018611115	0.1998580689948833	17940
PHAX	4	0	0.21455689907258998	0.21302331360605048	17941
RREB1	4	0	0.21454731810235175	0.3278698079662476	17942
SEC63	4	0	0.21417176284545913	0.25790176044365953	17943
FAM86B3P	2	0	0.21416116581913144	0.21416116581913144	17944
ZNF407	4	0	0.214050692381875	0.2500938598779577	17945
RETREG3	2	0	0.2140207346103356	0.2140207346103356	17946
KCTD20	4	0	0.2139597098384222	0.26603596946415553	17947
AC018557.1	2	0	0.21395654046416146	0.21395654046416146	17948
AC009961.1	2	0	0.21394754616044245	0.21394754616044245	17949
HNRNPUL1	4	0	0.2139366267980723	0.3024679342238889	17950
IRAK1	4	0	0.21388275876675114	0.3037280673832237	17951
UBQLN4	4	0	0.2137625429168088	0.30031937093264854	17952
RP4-549L20.3	2	0	0.21368545439005077	0.21368545439005077	17953
SF3A1	4	0	0.2135749901771051	0.260740415347127	17954
AL109927.1	2	0	0.21355130228956787	0.21355130228956787	17955
MBD4	4	0	0.21343632845768679	0.17138708763555968	17956
MRPL34	4	0	0.21332191486243376	0.22320155731415972	17957
CRYZL1	4	0	0.21332139968612907	0.19149260134518598	17958
RP11-339B21.10	2	0	0.21329820279173525	0.21329820279173525	17959
YY2	3	0	0.2132549093194096	0.3262706007752028	17960
CTD-2517O10.6	2	0	0.2131612356591575	0.2131612356591575	17961
BCL7C	4	0	0.21297446527627018	0.2816703997585743	17962
SPG7	4	0	0.21292131535855713	0.368629781101228	17963
GPR75	2	0	0.21288285499744591	0.21288285499744591	17964
RIPK1	4	0	0.2128625623927344	0.2971529446872259	17965
AC108134.2	2	0	0.21281610262958425	0.21281610262958425	17966
PLPPR2	2	0	0.21273883700417123	0.21273883700417123	17967
BOLA3	4	0	0.21270027639861494	0.2761675130792861	17968
LINC00657	2	0	0.21264912925623902	0.21264912925623902	17969
AC107081.2	2	0	0.21264645661132414	0.21264645661132414	17970
AC007283.5	2	0	0.2125762132435346	0.2125762132435346	17971
RP11-206L10.8	2	0	0.2124909869807602	0.2124909869807602	17972
DENND6A	4	0	0.2124557448594561	0.1879102371865604	17973
AC004540.1	2	0	0.21240431806336513	0.21240431806336513	17974
AC064836.3	2	0	0.2123727023190537	0.2123727023190537	17975
CCDC66	4	0	0.21236690171808664	0.2692452418988201	17976
PPCS	4	0	0.21232557543149405	0.2578521594327725	17977
SLC7A6	4	0	0.21230010057468002	0.23596366063680757	17978
RP4-583P15.10	2	0	0.2122637144253943	0.2122637144253943	17979
SNORA20	2	0	0.2122388216247916	0.2122388216247916	17980
EMC7	4	0	0.212155850879555	0.2401081065122091	17981
KAT5	4	0	0.21210947212355646	0.27131850347789976	17982
AC005828.3	2	0	0.21206087999402773	0.21206087999402773	17983
