gene	resistance_datasets_testable	resistance_up_count	resistance_down_count	resistance_fdr05_count	resistance_nominal_p05_count	resistance_top10pct_count	resistance_top20pct_count	resistance_median_percentile	resistance_direction_consensus
RND3	3	3	0	2	3	2	3	0.979911789777992	all_up
SORBS3	3	3	0	2	3	2	3	0.977098822380203	all_up
PTPRE	3	3	0	2	3	2	3	0.9765018722526728	all_up
EPB41L2	3	3	0	2	2	2	3	0.9759183673469388	all_up
KLHL2	3	3	0	2	3	2	3	0.9736734693877552	all_up
GLYATL1	3	3	0	2	3	2	3	0.9735713898084332	all_up
MAPK13	3	0	3	2	3	2	3	0.973388680923613	all_down
RND1	3	3	0	2	2	2	3	0.9730287078743148	all_up
PARM1	3	3	0	2	3	2	3	0.9728116351006676	all_up
TDRD1	3	0	3	2	2	2	3	0.9705442176870748	all_down
SH3GL3	3	3	0	2	3	2	3	0.9670879507801786	all_up
PPARG	3	3	0	2	2	2	3	0.966842133825365	all_up
MFSD6	3	3	0	2	2	2	3	0.9660823791175992	all_up
JAK2	3	0	3	2	2	2	3	0.9649427470559504	all_down
BTC	3	3	0	2	2	2	3	0.9638573831877136	all_up
EDARADD	3	3	0	2	3	2	3	0.9630851339831732	all_up
