gene	subset	drug_id	drug_name	target	pathway	dataset	metric	n	spearman_rho	p_value	direction	fdr
VEZF1	all_breast_lines	1057	Dactolisib	PI3K (class 1), MTORC1, MTORC2	PI3K/MTOR signaling	GDSC2	LN_IC50	45	0.3048748353096179	0.04171271554445294	higher_expression_more_resistant	0.2998752916147639
VEZF1	all_breast_lines	1918	AZD8186	PI3Kalpha, PI3Kbeta	PI3K/MTOR signaling	GDSC2	AUC	45	0.30447957839262185	0.041991754607951834	higher_expression_more_resistant	0.7750695107134152
VEZF1	all_breast_lines	1060	PD0325901	MEK1, MEK2	ERK MAPK signaling	GDSC2	LN_IC50	45	0.30368906455862976	0.04255440364617204	higher_expression_more_resistant	0.2998752916147639
VEZF1	all_breast_lines	1161	ZG-10	JNK1	JNK and p38 signaling	GDSC1	LN_IC50	23	0.4258893280632411	0.04273887476643942	higher_expression_more_resistant	0.7816681519694516
VEZF1	all_breast_lines	2113	VTP-B		Unclassified	GDSC2	AUC	41	-0.3168989547038328	0.043512674285665416	higher_expression_more_sensitive	0.7750695107134152
VEZF1	all_breast_lines	1799	Ibrutinib	BTK	Other, kinases	GDSC2	LN_IC50	38	0.32924827661669764	0.043539892991965305	higher_expression_more_resistant	0.2998752916147639
VEZF1	all_breast_lines	1714	ERK_6604	ERK1,ERK2	ERK MAPK signaling	GDSC2	LN_IC50	37	0.3321479374110953	0.04459465807515595	higher_expression_more_resistant	0.2998752916147639
VEZF1	all_breast_lines	1784	LMB_AB2	GADD34	Unclassified	GDSC2	LN_IC50	37	0.33119962067330483	0.045244342243631046	higher_expression_more_resistant	0.2998752916147639
VEZF1	all_breast_lines	273	CUDC-101	HDAC1-10, EGFR, ERBB2	Other	GDSC1	LN_IC50	45	-0.2994729907773386	0.04565995149110533	higher_expression_more_sensitive	0.7816681519694516
VEZF1	all_breast_lines	1495	Olaparib	PARP1, PARP2	Genome integrity	GDSC1	LN_IC50	42	0.3091321610890528	0.04636708407994068	higher_expression_more_resistant	0.7816681519694516
VEZF1	all_breast_lines	1615	CZC24832	PI3Kgamma	PI3K/MTOR signaling	GDSC2	LN_IC50	40	0.31482176360225145	0.04786071837295966	higher_expression_more_resistant	0.3073320512966549
VEZF1	all_breast_lines	1924	Ipatasertib	AKT1, AKT, AKT3	PI3K/MTOR signaling	GDSC2	AUC	45	0.2960474308300395	0.04831666981419786	higher_expression_more_resistant	0.7751246802386017
VEZF1	all_breast_lines	1372	Trametinib	MEK1, MEK2	ERK MAPK signaling	GDSC1	LN_IC50	42	0.3065391783485941	0.048328434663610656	higher_expression_more_resistant	0.7816681519694516
VEZF1	all_breast_lines	1928	I-BRD9	BRD9	Chromatin other	GDSC2	LN_IC50	45	0.2957839262187088	0.04852611336262972	higher_expression_more_resistant	0.3073320512966549
VEZF1	all_breast_lines	1375	Temozolomide	DNA alkylating agent	DNA replication	GDSC1	LN_IC50	42	0.3062150555060368	0.04857824673256479	higher_expression_more_resistant	0.7816681519694516
VEZF1	all_breast_lines	1441	AZD2014	mTORC1, mTORC2	PI3K/MTOR signaling	GDSC2	AUC	37	0.3259838786154575	0.04895524296243801	higher_expression_more_resistant	0.7751246802386017
VEZF1	all_breast_lines	1496	Cisplatin	DNA crosslinker	DNA replication	GDSC1	AUC	44	0.2983791402396053	0.049146902746003966	higher_expression_more_resistant	0.8699001786042702
VEZF1	all_breast_lines	1052	RO-3306	CDK1	Cell cycle	GDSC2	LN_IC50	44	0.29696969696969694	0.05027960647600153	higher_expression_more_resistant	0.30897100853475973
VEZF1	all_breast_lines	1261	rTRAIL	TRAIL receptor agonist	Apoptosis regulation	GDSC1	LN_IC50	43	0.29945635759589245	0.05107724031726279	higher_expression_more_resistant	0.7861453509700447
