gene	subset	drug_id	drug_name	target	pathway	dataset	metric	n	spearman_rho	p_value	direction	fdr
USP34	all_breast_lines	1232	I-BET-151	BRD2, BRD3, BRD4	Chromatin other	GDSC1	LN_IC50	42	-0.043027307349485455	0.7867303728697606	higher_expression_more_sensitive	0.8691738769915338
USP34	all_breast_lines	1187	CCT245232	HSF1	Unclassified	GDSC1	LN_IC50	42	0.0423790616643708	0.7898704067335913	higher_expression_more_resistant	0.8691738769915338
USP34	all_breast_lines	269	NSC-207895	MDM4	p53 pathway	GDSC1	LN_IC50	45	0.04071146245059288	0.7906044869809996	higher_expression_more_resistant	0.8691738769915338
USP34	all_breast_lines	381	AST-1306	EGFR, ERBB4	RTK signaling	GDSC1	AUC	44	0.04115574348132487	0.790817226173981	higher_expression_more_resistant	0.9161781212956011
USP34	all_breast_lines	2159	UNC0379	SETD8	Chromatin histone methylation	GDSC2	LN_IC50	40	-0.0427767354596623	0.7932560661588646	higher_expression_more_sensitive	0.9614384577853092
USP34	all_breast_lines	1232	I-BET-151	BRD2, BRD3, BRD4	Chromatin other	GDSC1	AUC	42	0.04156875455797747	0.793800063941119	higher_expression_more_resistant	0.9161781212956011
USP34	all_breast_lines	1023	GW441756	NTRK1	RTK signaling	GDSC1	LN_IC50	43	-0.04077318030806403	0.7951746657550437	higher_expression_more_sensitive	0.8714917389389644
USP34	all_breast_lines	1054	Palbociclib	CDK4, CDK6	Cell cycle	GDSC1	AUC	42	-0.04124463171542015	0.7953733436846405	higher_expression_more_sensitive	0.9161781212956011
USP34	all_breast_lines	1093	GSK1904529A	IGF1R, IR	IGF1R signaling	GDSC2	LN_IC50	45	-0.03965744400527008	0.7959085518750368	higher_expression_more_sensitive	0.9614384577853092
USP34	all_breast_lines	2438	ascorbate (vitamin C)	anti-oxidant proteins	Other	GDSC2	AUC	40	0.042213883677298315	0.795918257065692	higher_expression_more_resistant	0.9743956330352131
USP34	all_breast_lines	477	A-83-01	TGFB	Other	GDSC1	AUC	44	-0.03988724453840732	0.7971267270029523	higher_expression_more_sensitive	0.9161781212956011
